molecule_id,nearest_generated_neighbor_id,nearest_generated_similarity
0,3,0.14583333333333334
1,3,0.1076923076923077
2,5,0.14285714285714285
3,10,0.19607843137254902
5,2,0.14285714285714285
6,9,0.11428571428571428
7,8,0.14772727272727273
8,7,0.14772727272727273
9,6,0.11428571428571428
10,3,0.19607843137254902
11,18,0.10909090909090909
12,3,0.1875
14,3,0.13953488372093023
17,19,0.1388888888888889
18,5,0.14285714285714285
19,12,0.15625
