canonical_smiles,parent_molecule_chembl_id,parent_pref_name,approved_chembl_ids,approved_pref_names,first_approvals,withdrawn_flags
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,CHEMBL2103772,RACECADOTRIL,CHEMBL2103772,RACECADOTRIL,,False
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,CHEMBL2103774,TIBOLONE,CHEMBL2103774,TIBOLONE,,False
CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,CHEMBL2103822,TASIMELTEON,CHEMBL2103822,TASIMELTEON,2014,False
N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,CHEMBL2103827,DROXIDOPA,CHEMBL2103827,DROXIDOPA,2014,False
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,CHEMBL2103830,FOSTAMATINIB,CHEMBL2103830;CHEMBL3989516,FOSTAMATINIB;FOSTAMATINIB DISODIUM,2018,False
O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,CHEMBL2103837,TAFAMIDIS,CHEMBL2103837;CHEMBL2105675,TAFAMIDIS;TAFAMIDIS MEGLUMINE,2011,False
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CHEMBL2103846,ULIPRISTAL,CHEMBL2103846,ULIPRISTAL,,False
Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(-c3ccc(C[C@H](N)C(=O)O)cc3)nc(N)n2)C(F)(F)F)n1,CHEMBL2103855,TELOTRISTAT,CHEMBL2103855,TELOTRISTAT,,False
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,CHEMBL2105717,CABOZANTINIB,CHEMBL2103868;CHEMBL2105717,CABOZANTINIB S-MALATE;CABOZANTINIB,2012,False
Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,CHEMBL2103870,LUMACAFTOR,CHEMBL2103870,LUMACAFTOR,2015,False
CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,CHEMBL2103873,MACITENTAN,CHEMBL2103873,MACITENTAN,2010,False
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,CHEMBL2103875,TRAMETINIB,CHEMBL2103875;CHEMBL2105741,TRAMETINIB;TRAMETINIB DIMETHYL SULFOXIDE,2013,False
C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,CHEMBL2103877,EFINACONAZOLE,CHEMBL2103877,EFINACONAZOLE,2014,False
O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,CHEMBL2103883,AVATROMBOPAG,CHEMBL2103883;CHEMBL2105758,AVATROMBOPAG;AVATROMBOPAG MALEATE,2018,False
CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CHEMBL2103929,LYMECYCLINE,CHEMBL2103929,LYMECYCLINE,,False
C[N+](C)(C)CCO.O=C([O-])c1ccccc1O,CHEMBL2104095,CHOLINE SALICYLATE,CHEMBL2104095,CHOLINE SALICYLATE,,False
CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,CHEMBL2104356,KETAZOLAM,CHEMBL2104356,KETAZOLAM,,False
CO/N=C1\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C,CHEMBL2104415,MOXIDECTIN,CHEMBL2104415,MOXIDECTIN,2018,False
CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,CHEMBL2104445,TRITOQUALINE,CHEMBL2104445,TRITOQUALINE,,False
CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL2104489,ANAGESTONE ACETATE,CHEMBL2104489,ANAGESTONE ACETATE,,True
COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,CHEMBL2104537,AMOPROXAN,CHEMBL2104537,AMOPROXAN,,True
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Ca+2],CHEMBL2219740,CALCIUM GLUBIONATE ANHYDROUS,CHEMBL2104594;CHEMBL2219740,CALCIUM GLUBIONATE;CALCIUM GLUBIONATE ANHYDROUS,,False
CC(C)=CC(=O)NS(=O)(=O)c1ccc(N)cc1,CHEMBL2104910,SULFADICRAMIDE,CHEMBL2104910,SULFADICRAMIDE,,True
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,CHEMBL2104993,VORTIOXETINE,CHEMBL2104993;CHEMBL2107387,VORTIOXETINE;VORTIOXETINE HYDROBROMIDE,2013,False
CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL2105131,MEFRUSIDE,CHEMBL2105131,MEFRUSIDE,,False
CN1CC[C@]23c4c5ccc(OCCN6CCOCC6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CHEMBL2105224,PHOLCODINE,CHEMBL2105224,PHOLCODINE,,True
C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,CHEMBL2105233,PROXIBARBAL,CHEMBL2105233,PROXIBARBAL,,True
O=C([O-])[C@H](O)[C@@H](O)C(=O)O.[K+],CHEMBL2105248,POTASSIUM BITARTRATE,CHEMBL2105248,POTASSIUM BITARTRATE,2020,False
CNC(C)CC1CCCCC1,CHEMBL2105275,PROPYLHEXEDRINE,CHEMBL2105275,PROPYLHEXEDRINE,,True
CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,CHEMBL2105345,PROPANIDID,CHEMBL2105345,PROPANIDID,,True
OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,CHEMBL2105395,OSPEMIFENE,CHEMBL2105395,OSPEMIFENE,2013,False
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,CHEMBL2105420,TAUROLIDINE,CHEMBL2105420,TAUROLIDINE,2023,False
CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,CHEMBL2105458,THENALIDINE,CHEMBL2105458,THENALIDINE,,True
COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,CHEMBL2105497,ZIPEPROL,CHEMBL2105497,ZIPEPROL,,True
CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,CHEMBL2105527,TETRAZEPAM,CHEMBL2105527,TETRAZEPAM,,True
CC(Cc1ccccc1)NCCC#N,CHEMBL2105566,FENPROPOREX,CHEMBL2105566,FENPROPOREX,,True
C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,CHEMBL2105581,VERALIPRIDE,CHEMBL2105581,VERALIPRIDE,1979,True
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,CHEMBL2105611,TACALCITOL,CHEMBL2105611,TACALCITOL,,False
CC[C@]12C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7C[C@@H](C(C)(F)F)CN(Cc8c6[nH]c6ccccc86)C7)c(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32,CHEMBL2110725,VINFLUNINE,CHEMBL2105629;CHEMBL2110725,VINFLUNINE DITARTRATE;VINFLUNINE,2009,False
Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F,CHEMBL2105637,DELAFLOXACIN,CHEMBL2105637;CHEMBL2105638,DELAFLOXACIN;DELAFLOXACIN MEGLUMINE,2017,False
CC1(C)CCC(C)(C)c2cc(Cn3cccn3)c(/C=C/c3ccc(C(=O)O)cc3)cc21,CHEMBL2105648,PALOVAROTENE,CHEMBL2105648,PALOVAROTENE,2023,False
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,CHEMBL2105669,TEDIZOLID PHOSPHATE,CHEMBL2105669,TEDIZOLID PHOSPHATE,2014,False
N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,CHEMBL2105689,LULICONAZOLE,CHEMBL2105689,LULICONAZOLE,2013,False
CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(O[C@H](c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1,CHEMBL2105695,TELOTRISTAT ETHYL,CHEMBL2105695;CHEMBL3348963,TELOTRISTAT ETHYL;TELOTRISTAT ETIPRATE,2017,False
CCc1ccc(Cc2ccc3c(c2)[C@]2(OC3)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,CHEMBL2110731,TOFOGLIFLOZIN ANHYDROUS,CHEMBL2105711;CHEMBL2110731,TOFOGLIFLOZIN;TOFOGLIFLOZIN ANHYDROUS,,False
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,CHEMBL2110732,DACOMITINIB ANHYDROUS,CHEMBL2105719;CHEMBL2110732,DACOMITINIB;DACOMITINIB ANHYDROUS,2018,False
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,CHEMBL2105720,LESINURAD,CHEMBL2105720,LESINURAD,2015,False
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,CHEMBL2105735,ASUNAPREVIR,CHEMBL2105735,ASUNAPREVIR,2014,False
Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,CHEMBL2105737,SONIDEGIB,CHEMBL2105737;CHEMBL3137317,SONIDEGIB;SONIDEGIB PHOSPHATE,2015,False
O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,CHEMBL2105745,GLYCEROL PHENYLBUTYRATE,CHEMBL2105745,GLYCEROL PHENYLBUTYRATE,2013,False
