canonical_smiles,parent_molecule_chembl_id,parent_pref_name,approved_chembl_ids,approved_pref_names,first_approvals,withdrawn_flags
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CHEMBL2,PRAZOSIN,CHEMBL2;CHEMBL1558,PRAZOSIN;PRAZOSIN HYDROCHLORIDE,1976,False
CN1CCC[C@H]1c1cccnc1,CHEMBL3,NICOTINE,CHEMBL3,NICOTINE,1984,False
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL4,OFLOXACIN,CHEMBL4,OFLOXACIN,1990,False
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CHEMBL5,NALIDIXIC ACID,CHEMBL5,NALIDIXIC ACID,1964,False
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,INDOMETHACIN,CHEMBL6;CHEMBL3989410,INDOMETHACIN;INDOMETHACIN SODIUM,1965;1985,False
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL403,SULBACTAM,CHEMBL403;CHEMBL1200944,SULBACTAM;SULBACTAM SODIUM,1986,False
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL404,TAZOBACTAM,CHEMBL404;CHEMBL1439,TAZOBACTAM;TAZOBACTAM SODIUM,1993,False
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CHEMBL8,CIPROFLOXACIN,CHEMBL8;CHEMBL1202,CIPROFLOXACIN;CIPROFLOXACIN HYDROCHLORIDE,1987,False
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CHEMBL9,NORFLOXACIN,CHEMBL9,NORFLOXACIN,1986,False
CC(N)Cc1ccccc1,CHEMBL405,AMPHETAMINE,CHEMBL405;CHEMBL501;CHEMBL1200377;CHEMBL1200387,AMPHETAMINE;AMPHETAMINE SULFATE;AMPHETAMINE ASPARTATE;AMPHETAMINE ADIPATE,1955;1960;1996;1975,False
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],CHEMBL6622,ISOSORBIDE DINITRATE,CHEMBL6622,ISOSORBIDE DINITRATE,1986,False
CN1CCN2c3ccccc3Cc3ccccc3C2C1,CHEMBL6437,MIANSERIN,CHEMBL6437,MIANSERIN,,True
CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11,IMIPRAMINE,CHEMBL11;CHEMBL1692;CHEMBL3989845,IMIPRAMINE;IMIPRAMINE HYDROCHLORIDE;IMIPRAMINE PAMOATE,1959;1973,False
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL406,INDAPAMIDE,CHEMBL406,INDAPAMIDE,1983,False
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CHEMBL407,FLUMAZENIL,CHEMBL407,FLUMAZENIL,1991,False
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,CHEMBL408,TROGLITAZONE,CHEMBL408,TROGLITAZONE,1997,True
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409,BICALUTAMIDE,CHEMBL409,BICALUTAMIDE,1995,False
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CHEMBL12,DIAZEPAM,CHEMBL12,DIAZEPAM,1963,False
COCCc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL13,METOPROLOL,CHEMBL13;CHEMBL2062335;CHEMBL2356097;CHEMBL3989566,METOPROLOL;METOPROLOL TARTRATE;METOPROLOL SUCCINATE;METOPROLOL FUMARATE,1978;1992;1989,False
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL411,DIETHYLSTILBESTROL,CHEMBL411,DIETHYLSTILBESTROL,1973,False
CNC1(C)C2CCC(C2)C1(C)C,CHEMBL267936,MECAMYLAMINE,CHEMBL267936;CHEMBL1237082,MECAMYLAMINE;MECAMYLAMINE HYDROCHLORIDE,1956,False
C[N+](C)(C)CCOC(N)=O,CHEMBL965,CARBAMOYLCHOLINE,CHEMBL14;CHEMBL965,CARBACHOL;CARBAMOYLCHOLINE,1972,False
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CHEMBL16,PHENYTOIN,CHEMBL16;CHEMBL1611,PHENYTOIN;PHENYTOIN SODIUM,1953;1956,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL413,SIROLIMUS,CHEMBL413,SIROLIMUS,1999,False
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CHEMBL269732,TACROLIMUS ANHYDROUS,CHEMBL269732;CHEMBL3989887,TACROLIMUS ANHYDROUS;TACROLIMUS,1994,False
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CHEMBL415,CLOMIPRAMINE,CHEMBL415;CHEMBL1200710,CLOMIPRAMINE;CLOMIPRAMINE HYDROCHLORIDE,1989,False
COc1c2occc2cc2ccc(=O)oc12,CHEMBL416,METHOXSALEN,CHEMBL416,METHOXSALEN,1954,False
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,CHEMBL17,DICHLORPHENAMIDE,CHEMBL17,DICHLORPHENAMIDE,1958,False
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL18,ETHOXZOLAMIDE,CHEMBL18,ETHOXZOLAMIDE,1982,False
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,CHEMBL417,EPIRUBICIN,CHEMBL417;CHEMBL1200981,EPIRUBICIN;EPIRUBICIN HYDROCHLORIDE,1999,False
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,CHEMBL19,METHAZOLAMIDE,CHEMBL19,METHAZOLAMIDE,1959,False
CC(=O)Nc1nnc(S(N)(=O)=O)s1,CHEMBL20,ACETAZOLAMIDE,CHEMBL20;CHEMBL1200814,ACETAZOLAMIDE;ACETAZOLAMIDE SODIUM,1953;1982,False
NCc1ccc(S(N)(=O)=O)cc1,CHEMBL419,MAFENIDE,CHEMBL419;CHEMBL1201161,MAFENIDE;MAFENIDE ACETATE,1969,False
Nc1ccc(S(N)(=O)=O)cc1,CHEMBL21,SULFANILAMIDE,CHEMBL21,SULFANILAMIDE,1985,False
N=C(N)N/N=C/c1c(Cl)cccc1Cl,CHEMBL420,GUANABENZ,CHEMBL420;CHEMBL1200560,GUANABENZ;GUANABENZ ACETATE,1982,False
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,TRIMETHOPRIM,CHEMBL22;CHEMBL1201080;CHEMBL2110367,TRIMETHOPRIM;TRIMETHOPRIM HYDROCHLORIDE;TRIMETHOPRIM SULFATE,1973;1995;1988,False
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,VERAPAMIL,CHEMBL6966;CHEMBL1280,VERAPAMIL;VERAPAMIL HYDROCHLORIDE,1981,False
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,CHEMBL421,SULFASALAZINE,CHEMBL421,SULFASALAZINE,1950,False
O=c1ccc2ccccc2o1,CHEMBL6466,COUMARIN,CHEMBL6466,COUMARIN,,True
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,CHEMBL23,DILTIAZEM,CHEMBL23;CHEMBL1697;CHEMBL1200805,DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DILTIAZEM MALATE,1982;1996,False
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CHEMBL24,ATENOLOL,CHEMBL24,ATENOLOL,1981,False
CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,ASPIRIN,CHEMBL25,ASPIRIN,1950,False
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CHEMBL422,TRIFLUOPERAZINE,CHEMBL422;CHEMBL1257040,TRIFLUOPERAZINE;TRIFLUOPERAZINE HYDROCHLORIDE,1959,False
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CHEMBL26,SULPIRIDE,CHEMBL26,SULPIRIDE,,False
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,CHEMBL423,BETAXOLOL,CHEMBL423;CHEMBL1691,BETAXOLOL;BETAXOLOL HYDROCHLORIDE,1985,False
O=C(O)c1ccccc1O,CHEMBL424,SALICYLIC ACID,CHEMBL424,SALICYLIC ACID,,False
O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,CHEMBL425,OLSALAZINE,CHEMBL425;CHEMBL1201013,OLSALAZINE;OLSALAZINE SODIUM,1990,False
CC(C)NCC(O)COc1cccc2ccccc12,CHEMBL27,PROPRANOLOL,CHEMBL27;CHEMBL1671,PROPRANOLOL;PROPRANOLOL HYDROCHLORIDE,1967,False
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL6995,PRACTOLOL,CHEMBL6995,PRACTOLOL,,True
CN(CCCl)CCCl,CHEMBL427,MECHLORETHAMINE,CHEMBL427;CHEMBL1201001,MECHLORETHAMINE;MECHLORETHAMINE HYDROCHLORIDE,1949,False
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL29,PENICILLIN G,CHEMBL29;CHEMBL1126;CHEMBL1223;CHEMBL3989515,PENICILLIN G;PENICILLIN G SODIUM;PENICILLIN G POTASSIUM;PENICILLIN G BENZATHINE,1947;1982;1952,False
N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,CHEMBL428,TROVAFLOXACIN,CHEMBL428;CHEMBL1200779,TROVAFLOXACIN;TROVAFLOXACIN MESYLATE,1997,True
CN/C(=N\CCSCc1nc[nH]c1C)NC#N,CHEMBL30,CIMETIDINE,CHEMBL30;CHEMBL1201051,CIMETIDINE;CIMETIDINE HYDROCHLORIDE,1977,False
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL31,GATIFLOXACIN,CHEMBL31,GATIFLOXACIN,1999,True
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CHEMBL429,LABETALOL,CHEMBL429;CHEMBL1200323,LABETALOL;LABETALOL HYDROCHLORIDE,1984,False
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL32,MOXIFLOXACIN,CHEMBL32;CHEMBL1200735,MOXIFLOXACIN;MOXIFLOXACIN HYDROCHLORIDE,1999,False
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL33,LEVOFLOXACIN ANHYDROUS,CHEMBL33;CHEMBL5315124,LEVOFLOXACIN ANHYDROUS;LEVOFLOXACIN,1996,False
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,CHEMBL430,GEMIFLOXACIN,CHEMBL430;CHEMBL1200621,GEMIFLOXACIN;GEMIFLOXACIN MESYLATE,2003,False
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,CHEMBL431,SPIRAPRIL,CHEMBL431;CHEMBL1200831,SPIRAPRIL;SPIRAPRIL HYDROCHLORIDE,1994,False
CCCC(CCC)C(=O)O,CHEMBL109,VALPROIC ACID,CHEMBL433;CHEMBL109;CHEMBL2105613,VALPROATE SODIUM;VALPROIC ACID;DIVALPROEX SODIUM,1996;1978;1983,False
CC(C)NCC(O)c1ccc(O)c(O)c1,CHEMBL434,ISOPROTERENOL,CHEMBL434;CHEMBL1711;CHEMBL3989521,ISOPROTERENOL;ISOPROTERENOL HYDROCHLORIDE;ISOPROTERENOL SULFATE,1956,False
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEMBL435,HYDROCHLOROTHIAZIDE,CHEMBL435,HYDROCHLOROTHIAZIDE,1959,False
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,CHEMBL35,FUROSEMIDE,CHEMBL35,FUROSEMIDE,1966,False
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,CHEMBL36,PYRIMETHAMINE,CHEMBL36,PYRIMETHAMINE,1953,False
COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,CHEMBL436,TOLRESTAT,CHEMBL436,TOLRESTAT,1989,True
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,CHEMBL437,SULFATHIAZOLE,CHEMBL437,SULFATHIAZOLE,1945,True
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL438,SULFAMERAZINE,CHEMBL438;CHEMBL2107260,SULFAMERAZINE;SULFAMERAZINE SODIUM,1982,True
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,CHEMBL439,SULFADIAZINE,CHEMBL439;CHEMBL1200351;CHEMBL1382627,"SULFADIAZINE;SULFADIAZINE SODIUM;SULFADIAZINE, SILVER",1941;1973,False
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,CHEMBL440,THIAMYLAL,CHEMBL440;CHEMBL1201065,THIAMYLAL;THIAMYLAL SODIUM,1982,False
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,CHEMBL441,THIOPENTAL,CHEMBL441;CHEMBL738,THIOPENTAL;THIOPENTAL SODIUM,1982,False
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CHEMBL268164,CYCLOBARBITAL,CHEMBL268164;CHEMBL2106556,CYCLOBARBITAL;CYCLOBARBITAL CALCIUM,,True
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,CHEMBL442,ERGOTAMINE,CHEMBL442;CHEMBL2448612,ERGOTAMINE;ERGOTAMINE TARTRATE,1948,True
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CHEMBL38,TRETINOIN,CHEMBL38,TRETINOIN,1971,False
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,CHEMBL7413,METHOHEXITAL,CHEMBL7413;CHEMBL30219,METHOHEXITAL;METHOHEXITAL SODIUM,1960,False
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CHEMBL40,PHENOBARBITAL,CHEMBL40;CHEMBL149972,PHENOBARBITAL;PHENOBARBITAL SODIUM,2022,True;False
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CHEMBL41,FLUOXETINE,CHEMBL41;CHEMBL1201082,FLUOXETINE;FLUOXETINE HYDROCHLORIDE,1987,False
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,CHEMBL443,SULFAMETHOXAZOLE,CHEMBL443,SULFAMETHOXAZOLE,1973,False
CCC1(CC)C(=O)NC(=O)NC1=O,CHEMBL444,BARBITAL,CHEMBL444;CHEMBL2105904,BARBITAL;BARBITAL SODIUM,,False
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CHEMBL42,CLOZAPINE,CHEMBL42,CLOZAPINE,1989,False
CNCCC=C1c2ccccc2CCc2ccccc21,CHEMBL445,NORTRIPTYLINE,CHEMBL445;CHEMBL1201156,NORTRIPTYLINE;NORTRIPTYLINE HYDROCHLORIDE,1964,False
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL446,SULFAMETHAZINE,CHEMBL446,SULFAMETHAZINE,1949,True
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,CHEMBL447,SECOBARBITAL,CHEMBL447;CHEMBL1200903,SECOBARBITAL;SECOBARBITAL SODIUM,1950,True
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL448,PENTOBARBITAL,CHEMBL448;CHEMBL971,PENTOBARBITAL;PENTOBARBITAL SODIUM,1973,True
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,CHEMBL7568,QUINACRINE,CHEMBL7568,QUINACRINE,,True
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CHEMBL267894,AMOBARBITAL,CHEMBL267894;CHEMBL2105941,AMOBARBITAL;AMOBARBITAL SODIUM,,True
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,CHEMBL7728,HEXOBARBITAL,CHEMBL7728,HEXOBARBITAL,,True
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL449,BUTABARBITAL,CHEMBL449;CHEMBL1200982,BUTABARBITAL;BUTABARBITAL SODIUM,1939,False
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,CHEMBL7863,APROBARBITAL,CHEMBL7863,APROBARBITAL,,True
CCC1(CC)C(=O)NC(=O)N(C)C1=O,CHEMBL450,METHARBITAL,CHEMBL450,METHARBITAL,1982,False
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,CHEMBL451,CHLORDIAZEPOXIDE,CHEMBL451;CHEMBL1200703,CHLORDIAZEPOXIDE;CHLORDIAZEPOXIDE HYDROCHLORIDE,1960,False
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,CHEMBL266349,MELAGATRAN,CHEMBL266349,MELAGATRAN,2004,False
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,CHEMBL452,CLONAZEPAM,CHEMBL452,CLONAZEPAM,1975,False
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,CHEMBL453,SULFISOXAZOLE,CHEMBL453;CHEMBL1200321,SULFISOXAZOLE;SULFISOXAZOLE DIOLAMINE,1971;1982,False
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,CHEMBL268869,SULFAMETHOXYPYRIDAZINE,CHEMBL268869,SULFAMETHOXYPYRIDAZINE,,True
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,CHEMBL454,BUTALBITAL,CHEMBL454,BUTALBITAL,1983,False
CC(=O)NS(=O)(=O)c1ccc(N)cc1,CHEMBL455,SULFACETAMIDE,CHEMBL455;CHEMBL1723241,SULFACETAMIDE;SULFACETAMIDE SODIUM,1945;1961,False
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,CHEMBL43,AMSACRINE,CHEMBL43,AMSACRINE,1987,False
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,CHEMBL456,ETHACRYNIC ACID,CHEMBL456;CHEMBL1200487,ETHACRYNIC ACID;ETHACRYNATE SODIUM,1967,False
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,CHEMBL267744,TICRYNAFEN,CHEMBL267744,TICRYNAFEN,1979,True
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,CHEMBL457,GEMFIBROZIL,CHEMBL457,GEMFIBROZIL,1981,False
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,CHEMBL45,MELATONIN,CHEMBL45,MELATONIN,2007,False
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46,ONDANSETRON,CHEMBL46;CHEMBL3186492,ONDANSETRON;ONDANSETRON HYDROCHLORIDE,1991,False
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,CHEMBL49,BUSPIRONE,CHEMBL49;CHEMBL1200399,BUSPIRONE;BUSPIRONE HYDROCHLORIDE,1986,False
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,CHEMBL51,KETANSERIN,CHEMBL51,KETANSERIN,,False
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL459,METHYLDOPA,CHEMBL459,METHYLDOPA,1962,False
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,CHEMBL460,MOLINDONE,CHEMBL460;CHEMBL1200419,MOLINDONE;MOLINDONE HYDROCHLORIDE,1974,False
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CHEMBL53,APOMORPHINE,CHEMBL53;CHEMBL3187985,APOMORPHINE;APOMORPHINE HYDROCHLORIDE,2001,False
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CHEMBL54,HALOPERIDOL,CHEMBL54;CHEMBL4297147,HALOPERIDOL;HALOPERIDOL LACTATE,1967,False
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,CHEMBL55,PENTAMIDINE,CHEMBL55;CHEMBL361506,PENTAMIDINE;PENTAMIDINE ISETHIONATE,1984,False
Nc1ccc(C(=O)NCC(=O)O)cc1,CHEMBL463,AMINOHIPPURIC ACID,CHEMBL463;CHEMBL1200365,AMINOHIPPURIC ACID;AMINOHIPPURATE SODIUM,1982,False
CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,CHEMBL464,ETRETINATE,CHEMBL464,ETRETINATE,1986,True
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,CHEMBL57,NEVIRAPINE,CHEMBL57,NEVIRAPINE,1996,False
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,DRONABINOL,CHEMBL465,DRONABINOL,1985,False
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,CHEMBL58,MITOXANTRONE,CHEMBL58;CHEMBL1417019,MITOXANTRONE;MITOXANTRONE HYDROCHLORIDE,1987,False
NCCc1ccc(O)c(O)c1,CHEMBL59,DOPAMINE,CHEMBL59;CHEMBL1557,DOPAMINE;DOPAMINE HYDROCHLORIDE,1974,False
NC(=O)NO,CHEMBL467,HYDROXYUREA,CHEMBL467,HYDROXYUREA,1967,False
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,CHEMBL61,PODOFILOX,CHEMBL61,PODOFILOX,1990,False
NNC(=O)c1ccncc1,CHEMBL64,ISONIAZID,CHEMBL64,ISONIAZID,1952,False
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,CHEMBL468,THALIDOMIDE,CHEMBL468,THALIDOMIDE,1956,True
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,CHEMBL469,KETOROLAC,CHEMBL469;CHEMBL1201124,KETOROLAC;KETOROLAC TROMETHAMINE,1989,True;False
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL471,SOTALOL,CHEMBL471;CHEMBL1700,SOTALOL;SOTALOL HYDROCHLORIDE,1992,False
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CHEMBL472,GLYBURIDE,CHEMBL472,GLYBURIDE,1984,False
CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,CHEMBL9225,HEXESTROL,CHEMBL9225,HEXESTROL,,True
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,CHEMBL473,DOFETILIDE,CHEMBL473,DOFETILIDE,1999,False
CN(C)/N=N/c1[nH]cnc1C(N)=O,CHEMBL476,DACARBAZINE,CHEMBL476,DACARBAZINE,1975,False
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL477,ADENOSINE,CHEMBL477,ADENOSINE,1989,False
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CHEMBL479,THIORIDAZINE,CHEMBL479;CHEMBL1200916,THIORIDAZINE;THIORIDAZINE HYDROCHLORIDE,1962,True
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,CHEMBL480,LANSOPRAZOLE,CHEMBL480,LANSOPRAZOLE,1995,False
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,CHEMBL481,IRINOTECAN,CHEMBL481;CHEMBL3989514,IRINOTECAN;IRINOTECAN HYDROCHLORIDE,1996,False
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CHEMBL70,MORPHINE,CHEMBL70;CHEMBL2103744,MORPHINE;MORPHINE SULFATE,1984,False
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,CHEMBL485,CODEINE,CHEMBL485;CHEMBL1201463;CHEMBL4297091;CHEMBL6067642,CODEINE;CODEINE POLISTIREX;CODEINE SULFATE;CODEINE PHOSPHATE,1952;1985;2009,True;False
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CHEMBL71,CHLORPROMAZINE,CHEMBL71;CHEMBL1713,CHLORPROMAZINE;CHLORPROMAZINE HYDROCHLORIDE,1957,False
CNCCCN1c2ccccc2CCc2ccccc21,CHEMBL72,DESIPRAMINE,CHEMBL72;CHEMBL1696,DESIPRAMINE;DESIPRAMINE HYDROCHLORIDE,1964,False
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,AMINOGLUTETHIMIDE,CHEMBL488,AMINOGLUTETHIMIDE,1980,False
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,CHEMBL428880,CROMOLYN,CHEMBL74;CHEMBL428880,CROMOLYN SODIUM;CROMOLYN,1982,False
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,CHLOROQUINE,CHEMBL76;CHEMBL58510;CHEMBL4297165,CHLOROQUINE;CHLOROQUINE PHOSPHATE;CHLOROQUINE HYDROCHLORIDE,1949,False
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,CHEMBL490,PAROXETINE,CHEMBL490;CHEMBL1200609;CHEMBL6067650,PAROXETINE;PAROXETINE MESYLATE;PAROXETINE HYDROCHLORIDE,1992;2003,False
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,CHEMBL416146,ETORICOXIB,CHEMBL416146,ETORICOXIB,,False
CCN(CC)CC(=O)Nc1c(C)cccc1C,CHEMBL79,LIDOCAINE,CHEMBL79;CHEMBL1200409,LIDOCAINE;LIDOCAINE HYDROCHLORIDE,1948,False
