canonical_smiles,molecule_chembl_ids,parent_molecule_chembl_ids,activity_ids,document_chembl_ids,pchembl_values
Cn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,CHEMBL342059,CHEMBL342059,1025202;2915842;2916562;16440249,CHEMBL1133118;CHEMBL1154073;CHEMBL1154073;CHEMBL3751698,8.55;8.55;8.55;8.55
c1ccc(-n2cc3c(n2)c(NC2CCCC2)nc2ccccc23)cc1,CHEMBL106520,CHEMBL106520,1026483,CHEMBL1133616,6.07
COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL136689,CHEMBL136689,1033783;3500050;6178802;13398780;13398791;15054556;16914905;16914970;24376203,CHEMBL1133517;CHEMBL1255545;CHEMBL1770126;CHEMBL2412992;CHEMBL2412992;CHEMBL3351655;CHEMBL3885741;CHEMBL3885741;CHEMBL5036326,10.32;8.39;8.39;8.39;7.96;10.32;8.71;8.33;9.52
CCCCc1nc2[nH]ncc2c2nc(-c3cccc(Cl)c3)nn12,CHEMBL124900,CHEMBL124900,1034450,CHEMBL1146808,6.12
Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2[11CH3])n(C)c1=O,CHEMBL2311151,CHEMBL26138,1036478,CHEMBL1133517,7.27
CCc1nc2[nH]ncc2c2nc(-c3ccccc3)nn12,CHEMBL340221,CHEMBL340221,1038159,CHEMBL1146808,6.51
CCCCc1nc2[nH]ncc2c2nc(-c3ccccc3Cl)nn12,CHEMBL421611,CHEMBL421611,1049070,CHEMBL1146808,6.89
CCCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2[11CH3])n(CCC)c1=O,CHEMBL2311150,CHEMBL27508,1064804,CHEMBL1133517,9.0
COc1ccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)cc1,CHEMBL122396,CHEMBL122396,1105140;12139231,CHEMBL1148363;CHEMBL2177029,6.67;6.67
C#CCn1c(=O)c2c(nc(/C=C/c3cccc(OC)c3)n2C)n(CCCO)c1=O,CHEMBL413079,CHEMBL413079,1107432;1107433;13847527;13848891,CHEMBL1133582;CHEMBL1133582;CHEMBL3091303;CHEMBL3091303,8.3;7.82;8.27;8.27
N#Cc1c(N)nc(SCc2ncc[nH]2)c(C#N)c1-c1ccccc1,CHEMBL124345,CHEMBL124345,1121759;16914960;24382987;24383009,CHEMBL1148363;CHEMBL3885741;CHEMBL5038576;CHEMBL5038576,7.55;7.97;8.13;8.01
COc1cccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)c1,CHEMBL125979,CHEMBL125979,1122932,CHEMBL1148363,6.98
N#Cc1c(N)nc(SCc2ncc[nH]2)c(C#N)c1-c1cccc(O)c1,CHEMBL122806,CHEMBL122806,1126609;16650793,CHEMBL1148363;CHEMBL3826933,7.68;7.68
N#Cc1c(N)nc(SCc2ncc[nH]2)c(C#N)c1-c1ccc(O)cc1,CHEMBL122622,CHEMBL122622,1133723,CHEMBL1148363,7.55
CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,CHEMBL113512,CHEMBL113512,1187281,CHEMBL1135743,6.23
C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,CHEMBL114832,CHEMBL114832,1195084,CHEMBL1135743,6.79
CCCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,CHEMBL322250,CHEMBL322250,1204408;12139240,CHEMBL1135743;CHEMBL2177029,6.92;6.92
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CSC)[C@@H](O)[C@H]3O)c2n1,CHEMBL2113595,CHEMBL2113595,1210965,CHEMBL1135807,6.16
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC)[C@@H](O)[C@H]3O)c2n1,CHEMBL2113604,CHEMBL2113604,1210971,CHEMBL1135807,6.1
CCCn1c(=O)c2c(nc3cc(C(C)(C)C)ccn32)n(Cc2ccccc2)c1=O,CHEMBL112098,CHEMBL112098,1217421,CHEMBL1135743,6.42
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CSCC)[C@@H](O)[C@H]3O)c2n1,CHEMBL2113605,CHEMBL2113605,1217488,CHEMBL1135807,6.3
O=c1c2c(nc3ccccn32)n(Cc2ccccc2)c(=O)n1CC1CC1,CHEMBL112923,CHEMBL112923,1218871,CHEMBL1135743,6.62
C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,CHEMBL326319,CHEMBL326319,1224061,CHEMBL1135743,7.02
Nc1nc(N/N=C\C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL102116,CHEMBL102116,1232097,CHEMBL1134910,7.7
Nc1nc(-n2cc(C(=O)NCc3ccc(Cl)cc3)cn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL97937,CHEMBL97937,1234784,CHEMBL1134910,6.15
CCCNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,CHEMBL98659,CHEMBL98659,1236207,CHEMBL1134910,6.92
Nc1nc(-n2cc(C(=O)NC3CCCC3)cn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL329712,CHEMBL329712,1237400,CHEMBL1134910,6.42
CCOC(=O)CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,CHEMBL318732,CHEMBL318732,1238743,CHEMBL1134910,6.01
COc1ccc(-c2cnn(-c3nc(N)c4ncn([C@@H]5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)c2)cc1,CHEMBL318928,CHEMBL318928,1242734;1466074,CHEMBL1134910;CHEMBL1138752,6.25;6.72
Nc1nc(-c2cnn(CC3CCCCC3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL99983,CHEMBL99983,1243910,CHEMBL1134910,6.06
Cc1ccc(-c2cnn(-c3nc(N)c4ncn([C@@H]5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)c2)cc1,CHEMBL98597,CHEMBL98597,1245380,CHEMBL1134910,6.31
CCNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,CHEMBL99169,CHEMBL99169,1255278,CHEMBL1134910,6.42
OC[C@H]1O[C@@H](n2cnc3c(NC4CCCCC4)ncnc32)[C@H](O)[C@@H]1O,CHEMBL45891,CHEMBL45891,1255599,CHEMBL1132946,6.12
CN(C)C(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,CHEMBL415118,CHEMBL415118,1260295,CHEMBL1134910,6.36
CCCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CCC)c1=O,CHEMBL27508,CHEMBL27508,1268368;1268370,CHEMBL1134604;CHEMBL1134604,9.0;7.15
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(C(F)(F)F)cc3)nn12,CHEMBL123705,CHEMBL123705,1268534,CHEMBL1135548,7.51
Nc1nc2c(cnn2CCCc2ccc(N(CCO)CCO)cc2)c2nc(-c3ccco3)nn12,CHEMBL278812,CHEMBL278812,1268557;2916529,CHEMBL1135389;CHEMBL1154073,8.96;8.96
Cn1c(-c2cccc(C#N)c2)nc2c(N)nc(C#CC3(O)CCCCC3)nc21,CHEMBL49925,CHEMBL49925,1269737,CHEMBL1134604,7.89
Nc1nc2c(cnn2CCCc2ccc3c(c2)OC(C(=O)[O-])(C(=O)[O-])O3)c2nc(-c3ccco3)nn12.[Na+].[Na+],CHEMBL281626,CHEMBL278996,1269933,CHEMBL1135389,6.92
N/C(=N\O)c1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL2112948,CHEMBL2112948,1269944,CHEMBL1135389,9.74
NCc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL22320,CHEMBL22320,1269951;2916533,CHEMBL1135389;CHEMBL1154073,9.89;9.89
CCOC(=O)COc1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL22200,CHEMBL22200,1272491,CHEMBL1135389,9.37
Nc1nc2c(cnn2CCCc2ccc(S(=O)(=O)O)cc2)c2nc(-c3ccco3)nn12,CHEMBL278605,CHEMBL278605,1272498;2916516,CHEMBL1135389;CHEMBL1154073,6.85;6.85
Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC3(O)CCCCCC3)nc21,CHEMBL296389,CHEMBL296389,1273528,CHEMBL1134604,7.72
CCCCc1nc2[nH]cnc2c2nc(-c3cccc(OC)c3)nn12,CHEMBL123172,CHEMBL123172,1273698,CHEMBL1135548,7.17
Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)O)cc2)c2nc(-c3ccco3)nn12,CHEMBL22968,CHEMBL22968,1273708;2916532,CHEMBL1135389;CHEMBL1154073,7.0;7.0
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OCC)cc3)nn12,CHEMBL122819,CHEMBL122819,1275099,CHEMBL1135548,6.24
Cn1c(-c2ccco2)nc2c(N)nc(C#CC3(O)CCCCC3)nc21,CHEMBL50051,CHEMBL50051,1276204,CHEMBL1134604,7.96
CCCCc1nc2[nH]cnc2c2nc(Cc3ccccc3)nn12,CHEMBL122928,CHEMBL122928,1276424,CHEMBL1135548,7.33
CCCCc1nc2[nH]cnc2c2nc(-c3cccc(Cl)c3)nn12,CHEMBL122667,CHEMBL122667,1276427,CHEMBL1135548,7.25
Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)N(CCCl)CCCl)cc2)c2nc(-c3ccco3)nn12,CHEMBL278805,CHEMBL278805,1277895;2916518,CHEMBL1135389;CHEMBL1154073,9.23;9.23
CCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,CHEMBL123465,CHEMBL123465,1279002,CHEMBL1135548,6.92
Nc1nc2c(cnn2CCc2ccc(S(N)(=O)=O)cc2)c2nc(-c3ccco3)nn12,CHEMBL23745,CHEMBL23745,1279013;2916521,CHEMBL1135389;CHEMBL1154073,8.88;8.88
CCCCc1nc2[nH]cnc2c2nc(-c3cccc(C)c3)nn12,CHEMBL122685,CHEMBL122685,1280328,CHEMBL1135548,6.73
Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)N(CCO)CCO)cc2)c2nc(-c3ccco3)nn12,CHEMBL22717,CHEMBL22717,1280336;2563423;2916520,CHEMBL1135389;CHEMBL1155896;CHEMBL1154073,9.1;9.92;9.1
Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)NCC(=O)O)cc2)c2nc(-c3ccco3)nn12,CHEMBL22881,CHEMBL22881,1281483;2916517,CHEMBL1135389;CHEMBL1154073,7.3;7.3
Nc1nc2c(cnn2CCCc2ccc([N+](=O)[O-])cc2)c2nc(-c3ccco3)nn12,CHEMBL22241,CHEMBL22241,1281503;2916531,CHEMBL1135389;CHEMBL1154073,9.0;9.0
N=C(N)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL281601,CHEMBL281601,1281510;2916523,CHEMBL1135389;CHEMBL1154073,8.36;8.36
Cc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,CHEMBL339655,CHEMBL339655,1282683,CHEMBL1135548,6.26
CCOC(=O)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL442338,CHEMBL442338,1282690,CHEMBL1135389,8.4
CCCCc1nc2[nH]cnc2c2nc(-c3ccccc3Cl)nn12,CHEMBL124788,CHEMBL124788,1284013,CHEMBL1135548,7.75
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(C)cc3)nn12,CHEMBL332742,CHEMBL332742,1285223,CHEMBL1135548,6.75
CN1CCN(S(=O)(=O)c2ccc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)CC1,CHEMBL418564,CHEMBL418564,1286403;2916519,CHEMBL1135389;CHEMBL1154073,8.42;8.42
Nc1nc2c(cnn2CCCc2ccc3c(c2)OC(C(=O)O)(C(=O)O)O3)c2nc(-c3ccco3)nn12,CHEMBL278996,CHEMBL278996,1287680;2916507,CHEMBL1135389;CHEMBL1154073,6.92;6.92
CCCCc1nc2[nH]cnc2c2nc(-c3ccco3)nn12,CHEMBL125647,CHEMBL125647,1287691,CHEMBL1135548,6.68
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,CHEMBL331111,CHEMBL331111,1287697,CHEMBL1135548,6.05
CCCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,CHEMBL122511,CHEMBL122511,1290439,CHEMBL1135548,6.7
Cn1c(-c2ccccc2F)nc2c(N)nc(C#CC3(O)CCCCC3)nc21,CHEMBL301512,CHEMBL301512,1291619,CHEMBL1134604,7.82
Nc1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL22316,CHEMBL22316,1291806;2916524,CHEMBL1135389;CHEMBL1154073,7.26;7.26
CCC(O)(C#Cc1nc(N)c2nc(-c3cccc(F)c3)n(C)c2n1)CC,CHEMBL51192,CHEMBL51192,1292876,CHEMBL1134604,7.89
Nc1nc2c(cnn2CCCc2ccc3c(c2)OC(CO)(CO)O3)c2nc(-c3ccco3)nn12,CHEMBL282888,CHEMBL282888,1293024;2916510,CHEMBL1135389;CHEMBL1154073,9.72;9.72
Nc1nc2c(cnn2CCCc2ccc(C(=O)O)cc2)c2nc(-c3ccco3)nn12,CHEMBL279254,CHEMBL279254,1294483;2916522,CHEMBL1135389;CHEMBL1154073,8.33;8.33
Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC3(O)CCCCC3)nc21,CHEMBL48153,CHEMBL48153,1295659,CHEMBL1134604,7.8
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(F)cc3)nn12,CHEMBL333415,CHEMBL333415,1295937,CHEMBL1135548,6.29
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OCCC)cc3)nn12,CHEMBL333860,CHEMBL333860,1295943,CHEMBL1135548,7.31
CCCCc1nc2[nH]cnc2c2nc(C)nn12,CHEMBL123310,CHEMBL123310,1297339,CHEMBL1135548,7.34
Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC(C)(C)O)nc21,CHEMBL300624,CHEMBL300624,1298598,CHEMBL1134604,8.04
CCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,CHEMBL330873,CHEMBL330873,1298804,CHEMBL1135548,6.44
c1ccc(-c2nc3c4[nH]cnc4nc(-c4ccccc4)n3n2)cc1,CHEMBL330982,CHEMBL330982,1298807,CHEMBL1135548,7.64
CC(=O)Nc1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL22500,CHEMBL22500,1298827;2916530,CHEMBL1135389;CHEMBL1154073,8.32;8.32
N/C(=N/O)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL22822,CHEMBL22822,1298834;2916525,CHEMBL1135389;CHEMBL1154073,8.22;8.22
Nc1nc2c(cnn2CCCc2cc3c(cc2S(=O)(=O)O)OCO3)c2nc(-c3ccco3)nn12,CHEMBL22974,CHEMBL22974,1298841,CHEMBL1135389,7.12
Nc1nc2c(cnn2CCc2ccc(N(CCO)CCO)cc2)c2nc(-c3ccco3)nn12,CHEMBL22202,CHEMBL22202,1300057;2916535,CHEMBL1135389;CHEMBL1154073,9.92;9.92
Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC3(O)CCCC3)nc21,CHEMBL297685,CHEMBL297685,1301230,CHEMBL1134604,8.01
N#Cc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,CHEMBL22191,CHEMBL22191,1302677;2916528,CHEMBL1135389;CHEMBL1154073,7.07;7.07
Cn1c(=O)c2nc(-c3ccccc3)[nH]c2n(C)c1=O,CHEMBL62350,CHEMBL62350,1303932,CHEMBL1134604,6.34
Nc1nc2c(cnn2CCCc2ccc3c(c2)O[C@H](C(=O)O)O3)c2nc(-c3ccco3)nn12,CHEMBL22355,CHEMBL22355,1304214,CHEMBL1135389,7.23
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(N(C)C)cc3)nn12,CHEMBL123462,CHEMBL123462,1304228,CHEMBL1135548,7.31
CCCCc1nc2[nH]cnc2c2nc(-c3cccnc3)nn12,CHEMBL123195,CHEMBL123195,1305880,CHEMBL1135548,6.05
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(O)cc3)nn12,CHEMBL123450,CHEMBL123450,1305883,CHEMBL1135548,7.24
CCOC(=O)[C@@H]1Oc2ccc(CCCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2O1,CHEMBL279062,CHEMBL279062,1308467,CHEMBL1135389,8.26
CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cc(I)ccc4Cl)nc(Cl)nc31)[C@H](O)[C@@H]2O,CHEMBL2368363,CHEMBL2368363,1400034,CHEMBL1142719,6.32
CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cc(Cl)ccc4OCC(N)=O)nc(Cl)nc31)[C@H](O)[C@@H]2O,CHEMBL2368368,CHEMBL2368368,1400046,CHEMBL1142719,6.1
CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cc(Cl)ccc4OCc4ccccc4)nc(Cl)nc31)[C@H](O)[C@@H]2O,CHEMBL2368369,CHEMBL2368369,1400052,CHEMBL1142719,6.07
CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cc(I)ccc4OC)nc(Cl)nc31)[C@H](O)[C@@H]2O,CHEMBL2368364,CHEMBL2368364,1400058,CHEMBL1142719,6.37
Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,CHEMBL1355736,CHEMBL190,1426886,CHEMBL1140281,9.22
CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5cccc(Cl)c5)no4)cc3)[nH]c2n(CCC)c1=O,CHEMBL368442,CHEMBL368442,1429854,CHEMBL1140281,6.39
CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(C)cc5)n4)cc3)[nH]c2n(CCC)c1=O,CHEMBL180236,CHEMBL180236,1430423,CHEMBL1140281,6.0
CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5OC)n4)cc3)[nH]c2n(CCC)c1=O,CHEMBL361826,CHEMBL361826,1430540,CHEMBL1140281,7.64
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,CHEMBL186113,CHEMBL186113,1461661;1463716;3100476;3100477;12139279;12139290;14644268;14645775,CHEMBL1137202;CHEMBL1137202;CHEMBL1158518;CHEMBL1158518;CHEMBL2177029;CHEMBL2177029;CHEMBL3259781;CHEMBL3259781,7.34;8.06;8.64;9.4;7.8;9.0;7.34;8.05
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(Cl)cc5)nc43)[C@H](O)[C@@H]2O)n1,CHEMBL360646,CHEMBL360646,1461675;1461789,CHEMBL1137202;CHEMBL1137202,6.57;7.01
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(Br)cc5)nc43)[C@H](O)[C@@H]2O)n1,CHEMBL361925,CHEMBL361925,1461799;1461805,CHEMBL1137202;CHEMBL1137202,8.3;8.8
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,CHEMBL368880,CHEMBL368880,1461808;1461925,CHEMBL1137202;CHEMBL1137202,8.85;7.42
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(O)cc5)nc43)[C@H](O)[C@@H]2O)n1,CHEMBL360837,CHEMBL360837,1461937;1462048,CHEMBL1137202;CHEMBL1137202,8.3;8.1
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc([N+](=O)[O-])cc5)nc43)[C@H](O)[C@@H]2O)n1,CHEMBL186403,CHEMBL186403,1462057;1462063,CHEMBL1137202;CHEMBL1137202,7.32;8.51
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](C)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,CHEMBL2096798,CHEMBL2096798,1462184;1462198;16405807;16406731,CHEMBL1137202;CHEMBL1137202;CHEMBL3739405;CHEMBL3739405,9.0;8.52;8.66;8.28
Cn1nc(C(F)(F)F)c(CN2CCN(c3nc(N)n4nc(-c5ccco5)nc4n3)CC2)c1Cl,CHEMBL189192,CHEMBL189192,1463990;24777223,CHEMBL1137209;CHEMBL5126552,7.0;7.0
CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,CHEMBL317052,CHEMBL317052,1466072;8031717;14644267;15210118,CHEMBL1138752;CHEMBL1949672;CHEMBL3259781;CHEMBL3414558,6.53;6.54;6.54;6.54
Nc1nc(-c2cnn(Cc3ccccc3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL98278,CHEMBL98278,1466180,CHEMBL1138752,8.82
OC[C@H]1OC(n2cnc3c(NCc4cccc(I)c4)nc(-n4cc(-c5nccc6ccccc56)cn4)nc32)[C@H](O)[C@@H]1O,CHEMBL363458,CHEMBL363458,1466489,CHEMBL1138752,7.28
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,CHEMBL431733,CHEMBL431733,1473552;1517274;1996053;2110361;10887416;13489795,CHEMBL1138800;CHEMBL1144357;CHEMBL1137613;CHEMBL1143166;CHEMBL2029296;CHEMBL2434872,6.35;6.4;6.4;6.4;6.4;6.4
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NC(=O)Nc4ccc(S(N)(=O)=O)cc4)ncnc32)[C@H](O)[C@@H]1O,CHEMBL265587,CHEMBL265587,1473561,CHEMBL1138800,7.02
Nc1nc(-c2ccco2)c2ncn(-c3ccccc3)c2n1,CHEMBL439336,CHEMBL439336,1499387,CHEMBL1143541,7.16
Nc1nc(-c2ccco2)c2ncn(Cc3ccccc3)c2n1,CHEMBL196436,CHEMBL196436,1499389;2166026,CHEMBL1143541;CHEMBL1145614,7.46;7.4
Nc1nc(-c2ccco2)c2ncn(CCc3ccccc3)c2n1,CHEMBL194383,CHEMBL194383,1499391,CHEMBL1143541,6.57
Nc1nc(-c2ccco2)c2ncn(CCCc3ccccc3)c2n1,CHEMBL193761,CHEMBL193761,1499393,CHEMBL1143541,8.17
CC(c1ccccc1)n1cnc2c(-c3ccco3)nc(N)nc21,CHEMBL372064,CHEMBL372064,1499395,CHEMBL1143541,6.42
COc1ccccc1Cn1cnc2c(-c3ccco3)nc(N)nc21,CHEMBL195866,CHEMBL195866,1499397,CHEMBL1143541,7.66
COc1cccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)c1,CHEMBL371436,CHEMBL371436,1499503;2166023,CHEMBL1143541;CHEMBL1145614,7.91;8.15
COc1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,CHEMBL195410,CHEMBL195410,1499505,CHEMBL1143541,8.11
CC(C)c1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,CHEMBL195294,CHEMBL195294,1499507,CHEMBL1143541,8.0
Nc1nc(-c2ccco2)c2ncn(Cc3ccc(Cl)cc3)c2n1,CHEMBL195330,CHEMBL195330,1499509,CHEMBL1143541,7.67
Nc1nc(-c2ccco2)c2ncn(Cc3ccc(C(F)(F)F)cc3)c2n1,CHEMBL424827,CHEMBL424827,1499511;2166015,CHEMBL1143541;CHEMBL1145614,7.69;8.22
Nc1nc(-c2ccco2)c2ncn(Cc3c(F)cccc3F)c2n1,CHEMBL371615,CHEMBL371615,1499513;2166016,CHEMBL1143541;CHEMBL1145614,8.35;8.52
Nc1nc(-c2ccco2)c2ncn(Cc3c(F)cc(F)cc3F)c2n1,CHEMBL372928,CHEMBL372928,1499515,CHEMBL1143541,7.58
Nc1nc(-c2ccco2)c2ncn(Cc3ccc(C(F)(F)F)c(F)c3)c2n1,CHEMBL197148,CHEMBL197148,1499517,CHEMBL1143541,8.06
Nc1nc(-c2ccco2)c2ncn(Cc3ccc(C(F)(F)F)cc3F)c2n1,CHEMBL372475,CHEMBL372475,1499519,CHEMBL1143541,8.55
Nc1nc(-c2ccco2)c2ncn(Cc3cc4c(cc3Cl)OCO4)c2n1,CHEMBL195543,CHEMBL195543,1499521,CHEMBL1143541,8.2
Nc1nc(-c2ccco2)c2ncn(Cc3c(Cl)cccc3Cl)c2n1,CHEMBL193414,CHEMBL193414,1499526,CHEMBL1143541,8.15
Nc1nc(-c2ccco2)c2ncn(Cc3cccc4ccccc34)c2n1,CHEMBL193613,CHEMBL193613,1499528,CHEMBL1143541,8.25
Nc1nc(-c2ccco2)c2ncn(Cc3ccc4ccccc4c3)c2n1,CHEMBL195364,CHEMBL195364,1499530,CHEMBL1143541,8.85
Nc1nc(-c2ccco2)c2ncn(Cc3ccccc3CS(=O)(=O)c3ccccc3)c2n1,CHEMBL195503,CHEMBL195503,1499631,CHEMBL1143541,8.51
COc1ccc(Cl)cc1CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL191809,CHEMBL191809,1518361,CHEMBL1142719,6.4
Cc1ccccc1CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL331382,CHEMBL331382,1518373,CHEMBL1142719,6.12
OC[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)ncnc32)[C@H](O)[C@@H]1O,CHEMBL193692,CHEMBL193692,1518491;8031718;12139215;22490704,CHEMBL1142719;CHEMBL1949672;CHEMBL2177029;CHEMBL4680372,6.29;7.3;6.29;6.29
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,CHEMBL417292,CHEMBL417292,1518509,CHEMBL1142719,6.07
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)nc(Cl)nc31)[C@H](O)[C@@H]2O,CHEMBL27376,CHEMBL27376,1518636;2167242;2481708,CHEMBL1142719;CHEMBL1145629;CHEMBL1144175,6.11;6.11;6.11
N#Cc1cccc(-c2nc(Nc3cnccn3)sc2-n2ccnc2)c1,CHEMBL2113095,CHEMBL2113095,1523648,CHEMBL1139627,6.46
Cc1cccc(Nc2nc(-c3cccc(C#N)c3)c(-n3ccnc3C)s2)n1,CHEMBL197103,CHEMBL197103,1523652,CHEMBL1139627,6.76
Cc1ccc2c(NN)c(Cc3ccccc3)cnc2n1,CHEMBL195356,CHEMBL195356,1604919,CHEMBL1143448,6.14
Cc1ccc2c(O)c(Cc3ccccc3Cl)cnc2n1,CHEMBL195357,CHEMBL195357,1604925,CHEMBL1143448,6.01
Cc1ccc2c(O)c(C(=O)NCc3ccccc3)cnc2n1,CHEMBL194331,CHEMBL194331,1604931;1604933,CHEMBL1143448;CHEMBL1143448,7.3;7.52
