canonical_smiles,molecule_chembl_ids,parent_molecule_chembl_ids,activity_ids,document_chembl_ids,pchembl_values
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,CHEMBL16687,CHEMBL16687,67380;523436;523437;523438;671282;671283;671284;671285;671286;671287;671288;937218;989227;2563417;3122927;16914941,CHEMBL1129441;CHEMBL1130114;CHEMBL1130114;CHEMBL1130114;CHEMBL1144939;CHEMBL1144939;CHEMBL1144939;CHEMBL1144939;CHEMBL1144939;CHEMBL1144939;CHEMBL1144939;CHEMBL1131246;CHEMBL1133118;CHEMBL1155896;CHEMBL1157661;CHEMBL3885741,8.77;9.85;9.07;9.34;9.08;9.04;9.17;9.46;9.0;9.39;9.28;7.92;9.37;9.4;8.64;8.49
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(Cc4ccccc4)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL275149,CHEMBL275149,67467;3371867,CHEMBL1132981;CHEMBL1208683,6.19;6.19
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,CHEMBL273807,CHEMBL273807,68881;797754;1674103;1721534;2635517;3371871;8056962;16914965;19016087;23126618;24772309,CHEMBL1132981;CHEMBL1135905;CHEMBL1148617;CHEMBL1148648;CHEMBL1137016;CHEMBL1208683;CHEMBL1955727;CHEMBL3885741;CHEMBL4346653;CHEMBL4806962;CHEMBL5126505,6.3;6.3;6.29;6.3;6.3;6.3;6.3;7.25;6.3;6.0;8.71
O=C(COc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,CHEMBL341777,CHEMBL341777,68972,CHEMBL1145112,7.4
O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,CHEMBL135719,CHEMBL135719,70348,CHEMBL1145112,7.26
CCn1c(C#Cc2ccccc2)nc2c(N)ncnc21,CHEMBL61259,CHEMBL61259,85402,CHEMBL1134734,6.22
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CHEMBL464859,CHEMBL464859,91358;262784;413968;505512;550773;550774;550775;651593;651596;651597;651598;651599;768346;894078;1120586;1198979;1265531;1463582;1463596;1473557;1517148;1653127;1709884;1801182;1802451;1814947;1831036;1831241;1875856;1996054;2003376;2110362;2401826;2401841;2573314;3100466;3100467;3285626;5165957;8031721;10887417;10923750;10923772;10993342;12099271;12456401;12656894;12656979;13336218;13342051;13342123;13398785;13398796;13489796;13968197;14644262;15209156;15210140;16405803;16485898;16501843;16838399;18059253;18167767;18224814;19048625;19108155;19108418;22786145;22841509;24669217;24764950;25459853;26333191;26333246,CHEMBL1134734;CHEMBL1133855;CHEMBL1133401;CHEMBL1136764;CHEMBL1130114;CHEMBL1130114;CHEMBL1130114;CHEMBL1144939;CHEMBL1144939;CHEMBL1144939;CHEMBL1144939;CHEMBL1144939;CHEMBL1131221;CHEMBL1134334;CHEMBL1148363;CHEMBL1135807;CHEMBL1132946;CHEMBL1137202;CHEMBL1137202;CHEMBL1138800;CHEMBL1144357;CHEMBL1141186;CHEMBL1147002;CHEMBL1139220;CHEMBL1139845;CHEMBL1141376;CHEMBL1144471;CHEMBL1144471;CHEMBL1142924;CHEMBL1137613;CHEMBL1138285;CHEMBL1143166;CHEMBL1140203;CHEMBL1140203;CHEMBL1155111;CHEMBL1158518;CHEMBL1158518;CHEMBL1157749;CHEMBL1649335;CHEMBL1949672;CHEMBL2029296;CHEMBL2040767;CHEMBL2040767;CHEMBL2069206;CHEMBL2169760;CHEMBL3045486;CHEMBL2321867;CHEMBL2321867;CHEMBL2390917;CHEMBL2390830;CHEMBL2390830;CHEMBL2412992;CHEMBL2412992;CHEMBL2434872;CHEMBL3132785;CHEMBL3259781;CHEMBL3414558;CHEMBL3414558;CHEMBL3739405;CHEMBL3769381;CHEMBL3774372;CHEMBL3875185;CHEMBL4011624;CHEMBL4033759;CHEMBL4043287;CHEMBL4351010;CHEMBL4368904;CHEMBL4368904;CHEMBL4706508;CHEMBL4715802;CHEMBL5096218;CHEMBL5120905;CHEMBL5321195;CHEMBL5715956;CHEMBL5715956,7.7;7.82;9.0;7.22;7.67;7.67;8.28;7.67;8.82;7.54;7.72;7.61;7.8;7.8;7.22;7.4;7.8;6.89;7.3;7.91;7.8;7.8;6.91;6.17;7.9;7.76;8.66;7.66;7.91;7.8;6.96;7.8;7.19;7.28;7.64;7.6;7.8;7.7;7.17;8.66;7.8;7.7;7.75;7.46;7.7;6.6;7.75;7.7;8.0;7.92;7.82;7.7;7.67;7.8;7.9;7.7;8.07;7.9;7.35;6.47;7.43;7.43;7.8;6.32;8.48;7.7;7.46;8.66;7.8;8.6;7.95;8.32;7.7;7.47;7.55
CCN(CC)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL113189,CHEMBL113189,183859,CHEMBL1149198,6.56
Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccc(Br)o3)nc12,CHEMBL112195,CHEMBL112195,183861,CHEMBL1149198,7.46
CN(C)C(=O)CN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,CHEMBL113541,CHEMBL113541,183863,CHEMBL1149198,7.64
